State Name,Aadhar id of workers,Total households applied for job card,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST)
ANDAMAN AND NICOBAR,4444 3333 2222,33543,4,3994,29210
ANDHRA PRADESH,1111 2222 3333,8962403,2149561,726315,6086527
ARUNACHAL PRADESH,4444 5555 6666,244656,246,222924,19136
ASSAM,7777 8888 9999,5224931,268485,733724,3865151
BIHAR,1111 2222 3333,18296224,3772798,272531,12837768
CHHATTISGARH,1212 1313 1414,3992992,409091,1274636,2191285
DADRA & NAGAR HAVELI,1515 1616 1717,14259,1,3496,52
DAMAN & DIU,1818 1919 2020,0,0,0,0
GOA,2121 2222 2323,37109,792,9706,22946
GUJARAT,2424 2525 2626,4024149,245480,1483358,2164939
HARYANA,2727 2828 2929,982901,407755,165,574534
HIMACHAL PRADESH,3030 3131 3232,1295569,337328,78757,858553
JAMMU AND KASHMIR,3030 3131 3232,1327336,78712,173202,996700
JHARKHAND,3333 3434 3535,4996209,526150,1506138,2590625
KARNATAKA,3636 3737 3838,6345088,1085476,545984,4708472
KERALA,3939 4040 4141,3639389,439897,123073,3073800
LAKSHADWEEP,4242 4343 4444,8212,9,7928,91
MADHYA PRADESH,4545 4646 4747,7212496,1151649,2275414,3654668
MAHARASHTRA,4848 4949 5050,9389540,827059,1204779,6638516
MANIPUR,5151 5252 5353,572605,15330,245345,310357
MEGHALAYA,5454 5455 5656,592879,4035,539754,42976
MIZORAM,5454 5555 5656,200153,41,198821,1281
NAGALAND,5757 5858 5959,437342,3720,415890,17255
ODISHA,5151 5252 5353,6892272,1185958,1862060,3743098
PUDUCHERRY,6060 6161 6262,70139,19215,111,49336
PUNJAB,6363 6464 6565,1806834,1149468,716,553812
RAJASTHAN,6666 6767 6868,10695863,2039506,1979067,6497092
SIKKIM,6969 7070 7171,83815,3794,30692,48663
TAMIL NADU,7172 7373 7474,8522219,2173509,125918,6060994
TRIPURA,7172 7373 7474,630821,108820,257050,263525
UTTAR PRADESH,7676 7878 7979,17776657,5405271,166631,11466397
UTTARAKHAND,7708 9900 0088,1118637,206214,41016,844659
WEST BENGAL,7172 7373 7474,12747034,3203325,895843,8354351
Total,,138174276,27218699,17405038,88566769
